,UPDATE_SOURCE,CREATED_BY,RECORD_STATUS,LAST_UPDATED_BY,LAST_UPDATE_DATE,CREATION_DATE,DELETE_FLAG,NAME,BU_ID,NAVIGATION_ID,TO_FUNCTION_ID,FROM_FUNCTION_ID
0,None,29,I,29,2015-10-03 08:46:16,2015-10-03 08:46:16,None,INV_ITEM01,1,9,412,454
1,None,29,I,29,2015-10-03 08:47:33,2015-10-03 08:47:33,None,INV_ITEMDRILLDOWN01,1,10,454,412
2,None,2,I,2,2010-12-14 12:27:11,2010-12-14 12:27:11,None,INV_ITEM01,1,1,412,393
3,None,2,I,2,2010-12-14 12:27:11,2010-12-14 12:27:11,None,INV_ITEMINLOC01,1,2,377,393
4,None,2,I,2,2010-12-14 12:27:11,2010-12-14 12:27:11,None,INV_ITEMLOCQRY01,1,3,381,393
5,None,29,I,29,2011-06-25 11:51:42,2011-06-25 11:51:42,None,INV_ITEMINLOC01,1,4,377,412
6,None,29,I,29,2011-06-25 11:51:42,2011-06-25 11:51:42,None,INV_ITEMSEARCH01,1,5,393,412
7,None,29,I,29,2011-06-25 11:51:42,2011-06-25 11:51:42,None,INV_ITEMSLOCSNAP01,1,6,350,412
8,None,29,I,29,2011-06-25 11:54:00,2011-06-25 11:54:00,None,CMN_COMMODITY01,1,7,464,412
9,None,5,I,5,2012-12-06 15:58:55,2012-12-06 15:58:55,None,INV_ITEM01,1,8,412,326
10,None,29,I,29,2020-12-09 08:31:12,2020-12-09 08:31:12,None,AR_SUMSALORD01,1,11,491,578
11,None,29,I,29,2020-12-09 08:31:12,2020-12-09 08:31:12,None,AR_SALORDLINEHIST01,1,12,542,578
12,None,29,I,29,2020-12-09 08:31:12,2020-12-09 08:31:12,None,AR_SALPICK01,1,13,567,578
13,None,29,I,29,2020-12-09 08:31:12,2020-12-09 08:31:12,None,AR_SUMPICKLIST01,1,14,604,578
