,END_DATE,RESP_NAME,RESP_DESCRIPTION,RESP_ID,UPDATE_SOURCE,CREATED_BY,RECORD_STATUS,LAST_UPDATED_BY,LAST_UPDATE_DATE,CREATION_DATE,DELETE_FLAG,RESP_CATEGORY_CODE,SL_NO,EMAIL
0,None,MOBILE ENQUIRY,Mobile Enquiry,21,None,29.0,I,29.0,2011-10-17 18:26:38,2011-10-17 18:26:38,None,USER DEFINED,903,None
1,None,INVENTORY READ ONLY,Inventory Read Only,22,None,29.0,I,29.0,2011-10-17 18:28:30,2011-10-17 18:28:30,None,USER DEFINED,905,None
2,None,MOBILE MENU RESTRICTED,Mobile Menu Restricted,23,None,29.0,I,29.0,2012-07-14 16:06:44,2012-07-14 16:06:44,None,USER DEFINED,903,None
3,None,GENERAL LEDGER,Account,16,API,nan,U,29.0,2021-01-13 16:21:10,2010-11-25 22:11:29,None,SYSTEM,1,None
4,None,HUMAN RESOURCES,People,1,API,nan,U,29.0,2021-01-13 16:21:10,2009-12-28 14:25:43,None,SYSTEM,1,None
5,None,REPORTS,Reports,2,API,nan,I,nan,2009-12-28 14:25:43,2009-12-28 14:25:43,None,SYSTEM,1,None
6,None,ADVANCE PRICING,Pricing,3,API,nan,U,29.0,2021-01-13 16:21:10,2009-12-28 14:25:43,None,SYSTEM,1,None
7,None,ENQUIRY,Enquiry,4,API,nan,I,nan,2009-12-28 14:25:43,2009-12-28 14:25:43,None,SYSTEM,1,None
8,None,INVENTORY,Inventory,5,API,nan,I,nan,2009-12-28 14:25:43,2009-12-28 14:25:43,None,SYSTEM,1,None
9,None,PURCHASES,Purchases,6,API,nan,I,nan,2009-12-28 14:25:43,2009-12-28 14:25:43,None,SYSTEM,1,None
10,None,SALES,Sales,7,API,nan,I,nan,2009-12-28 14:25:43,2009-12-28 14:25:43,None,SYSTEM,1,None
11,None,MASTER SETUPS,Setup,9,API,nan,U,29.0,2021-01-13 16:21:10,2009-12-28 14:25:43,None,SYSTEM,1,None
12,None,SYSADMIN,Sysadmin,10,API,nan,I,nan,2009-12-28 14:25:43,2009-12-28 14:25:43,None,SYSTEM,1,None
13,None,MY WEB SITES,My Web Sites,11,API,nan,I,nan,2010-08-03 07:58:37,2010-08-03 07:58:37,None,SYSTEM,1,None
14,None,SECURITY,Security,17,API,nan,I,nan,2010-11-28 06:05:02,2010-11-28 06:05:02,None,SYSTEM,901,None
15,None,MY SALES USERS,My Sales Users,12,None,2.0,U,2.0,2010-10-07 14:48:09,2010-10-07 14:45:14,None,STANDARD,99,None
16,None,MY PURCHASE USERS,My Purchase Users,13,None,2.0,U,2.0,2010-10-07 14:48:09,2010-10-07 14:47:46,None,STANDARD,99,None
17,None,MY USER ENQUIRIES,My Enquiries,14,None,2.0,I,2.0,2010-10-07 14:50:17,2010-10-07 14:50:17,None,STANDARD,99,None
18,None,MY  SETUPS,My Setups,19,None,2.0,I,2.0,2010-12-06 14:16:44,2010-12-06 14:16:44,None,STANDARD,101,None
19,None,MY INVENTORY,My inventory,18,None,2.0,I,2.0,2010-11-28 18:35:54,2010-11-28 18:35:54,None,STANDARD,100,None
20,None,MOBILE MENU,Mobile,20,API,nan,U,29.0,2021-01-15 12:23:43,2011-06-25 10:18:58,None,SYSTEM,902,None
21,None,WAREHOUSE,Warehouse,24,API,nan,I,nan,2015-10-02 18:51:12,2015-10-02 18:51:12,None,SYSTEM,1,None
22,None,IMPORT EXPORT,Export,25,API,nan,U,29.0,2021-01-13 16:21:10,2015-10-02 18:51:13,None,SYSTEM,1,None
